Filename,Num_Clusters,FTE
C:\Users\xan37\Downloads\tip_omega_50_Emax_0_IC5_mask4_350ms.csv,1,0.4494132995605469
C:\Users\xan37\Downloads\tip_omega_50_Emax_0_IC5_mask5_350ms.csv,4,0.3867301940917969
C:\Users\xan37\Downloads\tip_omega_50_Emax_0_IC6_mask1_350ms.csv,7,0.5696830749511719
C:\Users\xan37\Downloads\tip_omega_50_Emax_0_IC6_mask2_350ms.csv,3,0.3952980041503906
C:\Users\xan37\Downloads\tip_omega_50_Emax_0_IC6_mask3_350ms.csv,6,0.5169258117675781
C:\Users\xan37\Downloads\tip_omega_50_Emax_0_IC6_mask4_350ms.csv,4,0.4445953369140625
C:\Users\xan37\Downloads\tip_omega_50_Emax_0_IC6_mask5_350ms.csv,4,0.5350685119628906
C:\Users\xan37\Downloads\tip_omega_50_Emax_0_IC7_mask1_350ms.csv,6,0.5737342834472656
C:\Users\xan37\Downloads\tip_omega_50_Emax_0_IC7_mask2_350ms.csv,5,0.5674209594726562
C:\Users\xan37\Downloads\tip_omega_50_Emax_0_IC7_mask3_350ms.csv,6,0.355224609375
C:\Users\xan37\Downloads\tip_omega_50_Emax_0_IC7_mask4_350ms.csv,4,0.6250534057617188
C:\Users\xan37\Downloads\tip_omega_50_Emax_0_IC7_mask5_350ms.csv,6,0.4768829345703125
C:\Users\xan37\Downloads\tip_omega_50_Emax_0_IC8_mask1_350ms.csv,4,0.5275993347167969
C:\Users\xan37\Downloads\tip_omega_50_Emax_0_IC8_mask2_350ms.csv,3,0.5720863342285156
C:\Users\xan37\Downloads\tip_omega_50_Emax_0_IC8_mask3_350ms.csv,2,0.5377159118652344
C:\Users\xan37\Downloads\tip_omega_50_Emax_0_IC8_mask4_350ms.csv,2,0.5527267456054688
C:\Users\xan37\Downloads\tip_omega_50_Emax_0_IC8_mask5_350ms.csv,2,0.5144424438476562
C:\Users\xan37\Downloads\tip_omega_100_Emax_0_IC1_mask1_350ms.csv,1,0.5188331604003906
C:\Users\xan37\Downloads\tip_omega_100_Emax_0_IC1_mask2_350ms.csv,0,0.4695777893066406
C:\Users\xan37\Downloads\tip_omega_100_Emax_0_IC1_mask3_350ms.csv,1,0.5243034362792969
C:\Users\xan37\Downloads\tip_omega_100_Emax_0_IC1_mask4_350ms.csv,1,0.526458740234375
C:\Users\xan37\Downloads\tip_omega_100_Emax_0_IC1_mask5_350ms.csv,1,0.5492782592773438
C:\Users\xan37\Downloads\tip_omega_100_Emax_0_IC2_mask1_350ms.csv,1,0.5904998779296875
C:\Users\xan37\Downloads\tip_omega_100_Emax_0_IC2_mask2_350ms.csv,2,0.566619873046875
C:\Users\xan37\Downloads\tip_omega_100_Emax_0_IC2_mask3_350ms.csv,1,0.6648597717285156
C:\Users\xan37\Downloads\tip_omega_100_Emax_0_IC2_mask4_350ms.csv,1,0.5854263305664062
C:\Users\xan37\Downloads\tip_omega_100_Emax_0_IC2_mask5_350ms.csv,2,0.5904045104980469
C:\Users\xan37\Downloads\tip_omega_100_Emax_0_IC3_mask1_350ms.csv,9,0.4441795349121094
C:\Users\xan37\Downloads\tip_omega_100_Emax_0_IC3_mask2_350ms.csv,3,0.42665863037109375
C:\Users\xan37\Downloads\tip_omega_100_Emax_0_IC3_mask3_350ms.csv,4,0.4259681701660156
C:\Users\xan37\Downloads\tip_omega_100_Emax_0_IC3_mask4_350ms.csv,3,0.4321327209472656
C:\Users\xan37\Downloads\tip_omega_100_Emax_0_IC3_mask5_350ms.csv,3,0.3657035827636719
C:\Users\xan37\Downloads\tip_omega_100_Emax_0_IC4_mask1_350ms.csv,5,0.3223609924316406
C:\Users\xan37\Downloads\tip_omega_100_Emax_0_IC4_mask2_350ms.csv,0,0.25638580322265625
C:\Users\xan37\Downloads\tip_omega_100_Emax_0_IC4_mask3_350ms.csv,3,0.22965240478515625
C:\Users\xan37\Downloads\tip_omega_100_Emax_0_IC4_mask4_350ms.csv,1,0.18156814575195312
C:\Users\xan37\Downloads\tip_omega_100_Emax_0_IC4_mask5_350ms.csv,5,0.3023796081542969
C:\Users\xan37\Downloads\tip_omega_100_Emax_0_IC5_mask1_350ms.csv,1,0.4508018493652344
C:\Users\xan37\Downloads\tip_omega_100_Emax_0_IC5_mask2_350ms.csv,2,0.5988616943359375
C:\Users\xan37\Downloads\tip_omega_100_Emax_0_IC5_mask3_350ms.csv,1,0.4360847473144531
C:\Users\xan37\Downloads\tip_omega_100_Emax_0_IC5_mask4_350ms.csv,1,0.4494132995605469
C:\Users\xan37\Downloads\tip_omega_100_Emax_0_IC5_mask5_350ms.csv,4,0.3867301940917969
C:\Users\xan37\Downloads\tip_omega_100_Emax_0_IC6_mask1_350ms.csv,7,0.5696830749511719
C:\Users\xan37\Downloads\tip_omega_100_Emax_0_IC6_mask2_350ms.csv,3,0.3952980041503906
C:\Users\xan37\Downloads\tip_omega_100_Emax_0_IC6_mask3_350ms.csv,6,0.5169258117675781
C:\Users\xan37\Downloads\tip_omega_100_Emax_0_IC6_mask4_350ms.csv,4,0.4445953369140625
C:\Users\xan37\Downloads\tip_omega_100_Emax_0_IC6_mask5_350ms.csv,4,0.5350685119628906
C:\Users\xan37\Downloads\tip_omega_100_Emax_0_IC7_mask1_350ms.csv,6,0.5737342834472656
C:\Users\xan37\Downloads\tip_omega_100_Emax_0_IC7_mask2_350ms.csv,5,0.5674209594726562
C:\Users\xan37\Downloads\tip_omega_100_Emax_0_IC7_mask3_350ms.csv,6,0.355224609375
C:\Users\xan37\Downloads\tip_omega_100_Emax_0_IC7_mask4_350ms.csv,4,0.6250534057617188
C:\Users\xan37\Downloads\tip_omega_100_Emax_0_IC7_mask5_350ms.csv,6,0.4768829345703125
C:\Users\xan37\Downloads\tip_omega_100_Emax_0_IC8_mask1_350ms.csv,4,0.5275993347167969
C:\Users\xan37\Downloads\tip_omega_100_Emax_0_IC8_mask2_350ms.csv,3,0.5720863342285156
C:\Users\xan37\Downloads\tip_omega_100_Emax_0_IC8_mask3_350ms.csv,2,0.5377159118652344
C:\Users\xan37\Downloads\tip_omega_100_Emax_0_IC8_mask4_350ms.csv,2,0.5527267456054688
C:\Users\xan37\Downloads\tip_omega_100_Emax_0_IC8_mask5_350ms.csv,2,0.5144424438476562
C:\Users\xan37\Downloads\tip_omega_0_Emax_100_IC1_mask1_350ms.csv,6,0.5092086791992188
C:\Users\xan37\Downloads\tip_omega_0_Emax_100_IC1_mask2_350ms.csv,2,0.5998573303222656
C:\Users\xan37\Downloads\tip_omega_0_Emax_100_IC1_mask3_350ms.csv,7,0.5497245788574219
C:\Users\xan37\Downloads\tip_omega_0_Emax_100_IC1_mask4_350ms.csv,5,0.5056991577148438
C:\Users\xan37\Downloads\tip_omega_0_Emax_100_IC1_mask5_350ms.csv,1,0.19991683959960938
C:\Users\xan37\Downloads\tip_omega_0_Emax_100_IC2_mask1_350ms.csv,0,0.056575775146484375
C:\Users\xan37\Downloads\tip_omega_0_Emax_100_IC2_mask2_350ms.csv,9,0.544647216796875
C:\Users\xan37\Downloads\tip_omega_0_Emax_100_IC2_mask3_350ms.csv,6,0.4388580322265625
C:\Users\xan37\Downloads\tip_omega_0_Emax_100_IC2_mask4_350ms.csv,5,0.3392372131347656
C:\Users\xan37\Downloads\tip_omega_0_Emax_100_IC2_mask5_350ms.csv,5,0.49578857421875
C:\Users\xan37\Downloads\tip_omega_0_Emax_100_IC3_mask1_350ms.csv,5,0.435516357421875
C:\Users\xan37\Downloads\tip_omega_0_Emax_100_IC3_mask2_350ms.csv,3,0.3453254699707031
C:\Users\xan37\Downloads\tip_omega_0_Emax_100_IC3_mask3_350ms.csv,6,0.397613525390625
C:\Users\xan37\Downloads\tip_omega_0_Emax_100_IC3_mask4_350ms.csv,4,0.3440284729003906
C:\Users\xan37\Downloads\tip_omega_0_Emax_100_IC3_mask5_350ms.csv,0,0.006542205810546875
C:\Users\xan37\Downloads\tip_omega_0_Emax_100_IC4_mask1_350ms.csv,3,0.25983428955078125
C:\Users\xan37\Downloads\tip_omega_0_Emax_100_IC4_mask2_350ms.csv,5,0.358734130859375
C:\Users\xan37\Downloads\tip_omega_0_Emax_100_IC4_mask3_350ms.csv,2,0.3601226806640625
C:\Users\xan37\Downloads\tip_omega_0_Emax_100_IC4_mask4_350ms.csv,4,0.5340194702148438
C:\Users\xan37\Downloads\tip_omega_0_Emax_100_IC4_mask5_350ms.csv,1,0.3112297058105469
C:\Users\xan37\Downloads\tip_omega_0_Emax_100_IC5_mask1_350ms.csv,4,0.4455108642578125
C:\Users\xan37\Downloads\tip_omega_0_Emax_100_IC5_mask2_350ms.csv,3,0.5032196044921875
C:\Users\xan37\Downloads\tip_omega_0_Emax_100_IC5_mask3_350ms.csv,3,0.3907318115234375
C:\Users\xan37\Downloads\tip_omega_0_Emax_100_IC5_mask4_350ms.csv,4,0.5192031860351562
C:\Users\xan37\Downloads\tip_omega_0_Emax_100_IC5_mask5_350ms.csv,3,0.4683647155761719
C:\Users\xan37\Downloads\tip_omega_0_Emax_100_IC6_mask1_350ms.csv,0,0.28553009033203125
C:\Users\xan37\Downloads\tip_omega_0_Emax_100_IC6_mask2_350ms.csv,4,0.4523773193359375
C:\Users\xan37\Downloads\tip_omega_0_Emax_100_IC6_mask3_350ms.csv,4,0.418701171875
C:\Users\xan37\Downloads\tip_omega_0_Emax_100_IC6_mask4_350ms.csv,4,0.6389617919921875
C:\Users\xan37\Downloads\tip_omega_0_Emax_100_IC6_mask5_350ms.csv,5,0.4157066345214844
C:\Users\xan37\Downloads\tip_omega_0_Emax_100_IC7_mask1_350ms.csv,8,0.49942779541015625
C:\Users\xan37\Downloads\tip_omega_0_Emax_100_IC7_mask2_350ms.csv,5,0.31798553466796875
C:\Users\xan37\Downloads\tip_omega_0_Emax_100_IC7_mask3_350ms.csv,11,0.41910552978515625
C:\Users\xan37\Downloads\tip_omega_0_Emax_100_IC7_mask4_350ms.csv,3,0.602691650390625
C:\Users\xan37\Downloads\tip_omega_0_Emax_100_IC7_mask5_350ms.csv,8,0.5809440612792969
C:\Users\xan37\Downloads\tip_omega_0_Emax_100_IC8_mask1_350ms.csv,5,0.4559593200683594
C:\Users\xan37\Downloads\tip_omega_0_Emax_100_IC8_mask2_350ms.csv,6,0.4304084777832031
C:\Users\xan37\Downloads\tip_omega_0_Emax_100_IC8_mask3_350ms.csv,8,0.4384346008300781
C:\Users\xan37\Downloads\tip_omega_0_Emax_100_IC8_mask4_350ms.csv,3,0.4369239807128906
C:\Users\xan37\Downloads\tip_omega_0_Emax_100_IC8_mask5_350ms.csv,3,0.26171875
C:\Users\xan37\Downloads\tip_omega_50_Emax_100_IC1_mask1_350ms.csv,2,0.5481376647949219
C:\Users\xan37\Downloads\tip_omega_50_Emax_100_IC1_mask2_350ms.csv,4,0.6382980346679688
C:\Users\xan37\Downloads\tip_omega_50_Emax_100_IC1_mask3_350ms.csv,6,0.5571136474609375
C:\Users\xan37\Downloads\tip_omega_50_Emax_100_IC1_mask4_350ms.csv,4,0.5137557983398438
C:\Users\xan37\Downloads\tip_omega_50_Emax_100_IC1_mask5_350ms.csv,0,0.23485946655273438
C:\Users\xan37\Downloads\tip_omega_50_Emax_100_IC2_mask1_350ms.csv,5,0.376068115234375
C:\Users\xan37\Downloads\tip_omega_50_Emax_100_IC2_mask2_350ms.csv,6,0.529205322265625
C:\Users\xan37\Downloads\tip_omega_50_Emax_100_IC2_mask3_350ms.csv,9,0.5230789184570312
C:\Users\xan37\Downloads\tip_omega_50_Emax_100_IC2_mask4_350ms.csv,7,0.5068397521972656
C:\Users\xan37\Downloads\tip_omega_50_Emax_100_IC2_mask5_350ms.csv,5,0.6141281127929688
C:\Users\xan37\Downloads\tip_omega_50_Emax_100_IC3_mask1_350ms.csv,7,0.423553466796875
C:\Users\xan37\Downloads\tip_omega_50_Emax_100_IC3_mask2_350ms.csv,2,0.4124031066894531
C:\Users\xan37\Downloads\tip_omega_50_Emax_100_IC3_mask3_350ms.csv,2,0.3806877136230469
C:\Users\xan37\Downloads\tip_omega_50_Emax_100_IC3_mask4_350ms.csv,3,0.28635406494140625
C:\Users\xan37\Downloads\tip_omega_50_Emax_100_IC3_mask5_350ms.csv,0,0.007122039794921875
C:\Users\xan37\Downloads\tip_omega_50_Emax_100_IC4_mask1_350ms.csv,4,0.4103431701660156
C:\Users\xan37\Downloads\tip_omega_50_Emax_100_IC4_mask2_350ms.csv,4,0.3818626403808594
C:\Users\xan37\Downloads\tip_omega_50_Emax_100_IC4_mask3_350ms.csv,3,0.3868370056152344
C:\Users\xan37\Downloads\tip_omega_50_Emax_100_IC4_mask4_350ms.csv,5,0.5288352966308594
C:\Users\xan37\Downloads\tip_omega_50_Emax_100_IC4_mask5_350ms.csv,4,0.49742889404296875
C:\Users\xan37\Downloads\tip_omega_50_Emax_100_IC5_mask1_350ms.csv,5,0.48590850830078125
C:\Users\xan37\Downloads\tip_omega_50_Emax_100_IC5_mask2_350ms.csv,2,0.3511466979980469
C:\Users\xan37\Downloads\tip_omega_50_Emax_100_IC5_mask3_350ms.csv,2,0.26416015625
C:\Users\xan37\Downloads\tip_omega_50_Emax_100_IC5_mask4_350ms.csv,5,0.3971099853515625
C:\Users\xan37\Downloads\tip_omega_50_Emax_100_IC5_mask5_350ms.csv,5,0.53021240234375
C:\Users\xan37\Downloads\tip_omega_50_Emax_100_IC6_mask1_350ms.csv,5,0.5100936889648438
C:\Users\xan37\Downloads\tip_omega_50_Emax_100_IC6_mask2_350ms.csv,0,0.5133628845214844
C:\Users\xan37\Downloads\tip_omega_50_Emax_100_IC6_mask3_350ms.csv,1,0.5046157836914062
C:\Users\xan37\Downloads\tip_omega_50_Emax_100_IC6_mask4_350ms.csv,4,0.6306266784667969
C:\Users\xan37\Downloads\tip_omega_50_Emax_100_IC6_mask5_350ms.csv,4,0.5505561828613281
C:\Users\xan37\Downloads\tip_omega_50_Emax_100_IC7_mask1_350ms.csv,9,0.3625831604003906
C:\Users\xan37\Downloads\tip_omega_50_Emax_100_IC7_mask2_350ms.csv,5,0.3719367980957031
C:\Users\xan37\Downloads\tip_omega_50_Emax_100_IC7_mask3_350ms.csv,3,0.4181671142578125
C:\Users\xan37\Downloads\tip_omega_50_Emax_100_IC7_mask4_350ms.csv,0,0.5078353881835938
C:\Users\xan37\Downloads\tip_omega_50_Emax_100_IC7_mask5_350ms.csv,4,0.6574478149414062
C:\Users\xan37\Downloads\tip_omega_50_Emax_100_IC8_mask1_350ms.csv,4,0.5163307189941406
C:\Users\xan37\Downloads\tip_omega_50_Emax_100_IC8_mask2_350ms.csv,4,0.5350227355957031
C:\Users\xan37\Downloads\tip_omega_50_Emax_100_IC8_mask3_350ms.csv,11,0.46207427978515625
C:\Users\xan37\Downloads\tip_omega_50_Emax_100_IC8_mask4_350ms.csv,4,0.5601463317871094
C:\Users\xan37\Downloads\tip_omega_50_Emax_100_IC8_mask5_350ms.csv,3,0.3661689758300781
C:\Users\xan37\Downloads\tip_omega_100_Emax_100_IC1_mask1_350ms.csv,6,0.5676345825195312
C:\Users\xan37\Downloads\tip_omega_100_Emax_100_IC1_mask2_350ms.csv,4,0.559326171875
C:\Users\xan37\Downloads\tip_omega_100_Emax_100_IC1_mask3_350ms.csv,5,0.6448211669921875
C:\Users\xan37\Downloads\tip_omega_100_Emax_100_IC1_mask4_350ms.csv,2,0.5222282409667969
C:\Users\xan37\Downloads\tip_omega_100_Emax_100_IC1_mask5_350ms.csv,0,0.21483230590820312
C:\Users\xan37\Downloads\tip_omega_100_Emax_100_IC2_mask1_350ms.csv,3,0.45005035400390625
C:\Users\xan37\Downloads\tip_omega_100_Emax_100_IC2_mask2_350ms.csv,1,0.47015380859375
C:\Users\xan37\Downloads\tip_omega_100_Emax_100_IC2_mask3_350ms.csv,8,0.5290870666503906
C:\Users\xan37\Downloads\tip_omega_100_Emax_100_IC2_mask4_350ms.csv,4,0.6615066528320312
C:\Users\xan37\Downloads\tip_omega_100_Emax_100_IC2_mask5_350ms.csv,7,0.5866622924804688
C:\Users\xan37\Downloads\tip_omega_100_Emax_100_IC3_mask1_350ms.csv,4,0.3899497985839844
C:\Users\xan37\Downloads\tip_omega_100_Emax_100_IC3_mask2_350ms.csv,2,0.3524932861328125
C:\Users\xan37\Downloads\tip_omega_100_Emax_100_IC3_mask3_350ms.csv,4,0.44268035888671875
C:\Users\xan37\Downloads\tip_omega_100_Emax_100_IC3_mask4_350ms.csv,4,0.3079795837402344
C:\Users\xan37\Downloads\tip_omega_100_Emax_100_IC3_mask5_350ms.csv,3,0.3288230895996094
C:\Users\xan37\Downloads\tip_omega_100_Emax_100_IC4_mask1_350ms.csv,4,0.3922767639160156
C:\Users\xan37\Downloads\tip_omega_100_Emax_100_IC4_mask2_350ms.csv,7,0.3678932189941406
C:\Users\xan37\Downloads\tip_omega_100_Emax_100_IC4_mask3_350ms.csv,5,0.41124725341796875
C:\Users\xan37\Downloads\tip_omega_100_Emax_100_IC4_mask4_350ms.csv,6,0.5161018371582031
C:\Users\xan37\Downloads\tip_omega_100_Emax_100_IC4_mask5_350ms.csv,3,0.3953514099121094
C:\Users\xan37\Downloads\tip_omega_100_Emax_100_IC5_mask1_350ms.csv,3,0.4871063232421875
C:\Users\xan37\Downloads\tip_omega_100_Emax_100_IC5_mask2_350ms.csv,2,0.3236351013183594
C:\Users\xan37\Downloads\tip_omega_100_Emax_100_IC5_mask3_350ms.csv,10,0.4435577392578125
C:\Users\xan37\Downloads\tip_omega_100_Emax_100_IC5_mask4_350ms.csv,2,0.4145164489746094
C:\Users\xan37\Downloads\tip_omega_100_Emax_100_IC5_mask5_350ms.csv,6,0.4294929504394531
C:\Users\xan37\Downloads\tip_omega_100_Emax_100_IC6_mask1_350ms.csv,2,0.4781684875488281
C:\Users\xan37\Downloads\tip_omega_100_Emax_100_IC6_mask2_350ms.csv,4,0.5659523010253906
C:\Users\xan37\Downloads\tip_omega_100_Emax_100_IC6_mask3_350ms.csv,2,0.381683349609375
C:\Users\xan37\Downloads\tip_omega_100_Emax_100_IC6_mask4_350ms.csv,4,0.38367462158203125
C:\Users\xan37\Downloads\tip_omega_100_Emax_100_IC6_mask5_350ms.csv,3,0.3543205261230469
C:\Users\xan37\Downloads\tip_omega_100_Emax_100_IC7_mask1_350ms.csv,5,0.49837493896484375
C:\Users\xan37\Downloads\tip_omega_100_Emax_100_IC7_mask2_350ms.csv,5,0.3872032165527344
C:\Users\xan37\Downloads\tip_omega_100_Emax_100_IC7_mask3_350ms.csv,2,0.41118621826171875
C:\Users\xan37\Downloads\tip_omega_100_Emax_100_IC7_mask4_350ms.csv,3,0.5776329040527344
C:\Users\xan37\Downloads\tip_omega_100_Emax_100_IC7_mask5_350ms.csv,1,0.5551414489746094
C:\Users\xan37\Downloads\tip_omega_100_Emax_100_IC8_mask1_350ms.csv,3,0.5183677673339844
C:\Users\xan37\Downloads\tip_omega_100_Emax_100_IC8_mask2_350ms.csv,1,0.578857421875
C:\Users\xan37\Downloads\tip_omega_100_Emax_100_IC8_mask3_350ms.csv,2,0.4370841979980469
C:\Users\xan37\Downloads\tip_omega_100_Emax_100_IC8_mask4_350ms.csv,2,0.4873847961425781
